cik,date,link
1553588,2015-12-11,https://www.sec.gov/Archives/edgar/data/1553588/000104746915009170/a2226796zdef14a.htm
1553588,2014-04-30,https://www.sec.gov/Archives/edgar/data/1553588/000104746914004450/a2219887zdef14a.htm
1532543,2014-09-17,https://www.sec.gov/Archives/edgar/data/1532543/000119312514343390/d773202ddef14a.htm
1532543,2014-04-11,https://www.sec.gov/Archives/edgar/data/1532543/000144757214000011/i12528.htm
1203900,2014-11-10,https://www.sec.gov/Archives/edgar/data/1203900/000114420414066611/v393806_def14a.htm
1203900,2013-11-05,https://www.sec.gov/Archives/edgar/data/1203900/000114420413058846/v359233_def14a.htm
1203900,2013-01-15,https://www.sec.gov/Archives/edgar/data/1203900/000114420413002500/v332030_def14a.htm
1300514,2016-04-22,https://www.sec.gov/Archives/edgar/data/1300514/000119312516552086/d182134ddef14a.htm
1300514,2015-04-24,https://www.sec.gov/Archives/edgar/data/1300514/000119312515146796/d893536ddef14a.htm
1300514,2014-04-25,https://www.sec.gov/Archives/edgar/data/1300514/000119312514160074/d707917ddef14a.htm
1300514,2013-04-26,https://www.sec.gov/Archives/edgar/data/1300514/000119312513177843/d522214ddef14a.htm
1563699,2016-09-14,https://www.sec.gov/Archives/edgar/data/1563699/000156369916000159/a2016proxy9916.htm
1563699,2015-07-15,https://www.sec.gov/Archives/edgar/data/1563699/000156369915000029/proxy71315tobefiled4.htm
1563699,2014-07-16,https://www.sec.gov/Archives/edgar/data/1563699/000156369914000063/covisintcorporationproxy-t.htm
1563699,2014-01-24,https://www.sec.gov/Archives/edgar/data/1563699/000156369914000020/covs14c24jan2014.htm
873303,2016-05-31,https://www.sec.gov/Archives/edgar/data/873303/000156459016020170/srpt-def14a_20160627.htm
873303,2015-04-30,https://www.sec.gov/Archives/edgar/data/873303/000117494715000749/b408251_def14a.htm
873303,2014-04-30,https://www.sec.gov/Archives/edgar/data/873303/000117494714000222/b375325_def14a.htm
873303,2013-04-30,https://www.sec.gov/Archives/edgar/data/873303/000119312513187739/d523596ddef14a.htm
704415,2016-04-15,https://www.sec.gov/Archives/edgar/data/704415/000070441516000068/def14a.htm
704415,2015-04-09,https://www.sec.gov/Archives/edgar/data/704415/000070441515000016/def14a.htm
704415,2013-04-30,https://www.sec.gov/Archives/edgar/data/704415/000070441513000013/def14a.htm
881524,2016-10-05,https://www.sec.gov/Archives/edgar/data/881524/000104746916015965/a2229915zdef14a.htm
881524,2015-09-18,https://www.sec.gov/Archives/edgar/data/881524/000104746915007400/a2226013zdef14a.htm
881524,2014-08-15,https://www.sec.gov/Archives/edgar/data/881524/000104746914007035/a2221168zdef14a.htm
1039280,2016-03-29,https://www.sec.gov/Archives/edgar/data/1039280/000149315216008350/def14a.htm
1039280,2015-04-15,https://www.sec.gov/Archives/edgar/data/1039280/000149315215001449/def14-a.htm
1039280,2014-05-01,https://www.sec.gov/Archives/edgar/data/1039280/000117184314002088/def14a_050114.htm
1039280,2013-05-29,https://www.sec.gov/Archives/edgar/data/1039280/000117184313002306/def14a_052913.htm
907471,2016-12-14,https://www.sec.gov/Archives/edgar/data/907471/000114036116089591/def14a.htm
907471,2015-12-14,https://www.sec.gov/Archives/edgar/data/907471/000114036115044320/formdef14a.htm
907471,2014-12-16,https://www.sec.gov/Archives/edgar/data/907471/000114036114045298/formdef14a.htm
907471,2013-12-26,https://www.sec.gov/Archives/edgar/data/907471/000114036113047539/formdef14a.htm
1556266,2016-12-01,https://www.sec.gov/Archives/edgar/data/1556266/000121390016019098/def14a1216_chinacommercial.htm
1556266,2015-12-10,https://www.sec.gov/Archives/edgar/data/1556266/000121390015009413/def14a1215_chinacommercial.htm
1556266,2014-12-11,https://www.sec.gov/Archives/edgar/data/1556266/000121390014008855/def14a1214_chinacommercial.htm
1369568,2016-04-29,https://www.sec.gov/Archives/edgar/data/1369568/000119312516569377/d81688ddef14a.htm
1369568,2015-03-30,https://www.sec.gov/Archives/edgar/data/1369568/000119312515111873/d862051ddef14a.htm
1369568,2014-03-19,https://www.sec.gov/Archives/edgar/data/1369568/000119312514104689/d660291ddef14a.htm
1369568,2013-04-15,https://www.sec.gov/Archives/edgar/data/1369568/000119312513155060/d473326ddef14a.htm
217346,2016-03-08,https://www.sec.gov/Archives/edgar/data/217346/000110465916103231/a16-4186_1def14a.htm
217346,2015-03-04,https://www.sec.gov/Archives/edgar/data/217346/000119312515076501/d835202ddef14a.htm
217346,2014-03-06,https://www.sec.gov/Archives/edgar/data/217346/000119312514085931/d662390ddef14a.htm
217346,2013-03-07,https://www.sec.gov/Archives/edgar/data/217346/000119312513095030/d476628ddef14a.htm
945989,2016-04-29,https://www.sec.gov/Archives/edgar/data/945989/000095015916000580/asteadef14a.htm
945989,2015-04-29,https://www.sec.gov/Archives/edgar/data/945989/000095015915000125/asteadef14a.htm
945989,2014-04-28,https://www.sec.gov/Archives/edgar/data/945989/000095015914000213/asteadef14a.htm
945989,2013-04-26,https://www.sec.gov/Archives/edgar/data/945989/000095015913000280/asteadef14a.htm
1287151,2016-05-16,https://www.sec.gov/Archives/edgar/data/1287151/000128715116000169/a2016def14anewproposalincl.htm
1287151,2015-07-23,https://www.sec.gov/Archives/edgar/data/1287151/000128715115000081/a2015def14a.htm
1287151,2014-04-30,https://www.sec.gov/Archives/edgar/data/1287151/000128715114000028/a2014def14a.htm
1287151,2013-04-29,https://www.sec.gov/Archives/edgar/data/1287151/000128715113000066/xrm-def14a.htm
